label character JISx0208 UTF8 Cangjie
0 あ 0x2422 u'\u3042' zc
1 い 0x2424 u'\u3044' zc
2 う 0x2426 u'\u3046' zc
3 え 0x2428 u'\u3048' zc
4 お 0x242A u'\u304a' zc
5 か 0x242B u'\u304b' zc
6 が 0x242C u'\u304c' zc
7 愛 0x3026 u'\u611b' bbpe
8 委 0x3051 u'\u59d4' hdv
9 壱 0x306D u'\u58f1' gbp
10 雲 0x3140 u'\u96f2' mbmmi
11 円 0x315F u'\u5186' blm
12 王 0x3226 u'\u738b' mg
13 何 0x323F u'\u4f55' omnr
14 火 0x3250 u'\u706b' f
15 会 0x3271 u'\u4f1a' ommi
16 階 0x332C u'\u968e' nlppa
17 革 0x3357 u'\u9769' tlj
18 官 0x3431 u'\u5b98' jrlr
19 館 0x345B u'\u9928' oijrr
20 希 0x3475 u'\u5e0c' kklb
21 記 0x352D u'\u8a18' yrsu
22 休 0x3559 u'\u4f11' od
23 牛 0x356D u'\u725b' hq
24 共 0x3626 u'\u5171' tc
25 曲 0x364A u'\u66f2' xtw
26 句 0x3667 u'\u53e5' pr
27 係 0x3738 u'\u4fc2' ohvf
28 芸 0x375D u'\u82b8' tmmi
29 券 0x3774 u'\u5238' fqsh
30 険 0x3831 u'\u967a' xnlom
31 古 0x3845 u'\u53e4' jr
32 語 0x386C u'\u8a9e' yrmmr
33 口 0x387D u'\u53e3' r
34 港 0x3941 u'\u6e2f' etcu
35 合 0x3967 u'\u5408' omr
36 査 0x3A3A u'\u67fb' dbm
37 菜 0x3A5A u'\u83dc' tbd
38 刷 0x3A7E u'\u5237' sbln
39 蚕 0x3B3D u'\u8695' mklmi
40 始 0x3B4F u'\u59cb' vir
41 死 0x3B60 u'\u6b7b' mnp
42 資 0x3B71 u'\u8cc7' mobuc
43 治 0x3C23 u'\u6cbb' eir
44 質 0x3C41 u'\u8cea' hlbuc
45 弱 0x3C65 u'\u5f31' nmnim
46 需 0x3C7B u'\u9700' mbmbl
47 習 0x3D2C u'\u7fd2' smha
48 出 0x3D50 u'\u51fa' uu
49 暑 0x3D6B u'\u6691' ajka
50 小 0x3E2E u'\u5c0f' nc
51 章 0x3E4F u'\u7ae0' ytaj
52 状 0x3E75 u'\u72b6' lmik
53 深 0x3F3C u'\u6df1' ebcd
54 図 0x3F5E u'\u56f3' wyk
55 政 0x402F u'\u653f' mmok
56 製 0x403D u'\u88fd' hnyhv
57 責 0x4055 u'\u8cac' qmbuc
58 舌 0x4065 u'\u820c' hjr
59 選 0x412A u'\u9078' yruc
60 倉 0x4152 u'\u5009' oiar
61 増 0x417D u'\u5897' xgcwa
62 属 0x4230 u'\u5c5e' shlb
63 多 0x423F u'\u591a' nini
64 隊 0x4262 u'\u968a' nltpo
65 短 0x433B u'\u77ed' okmrt
66 竹 0x435D u'\u7af9' h
67 貯 0x4379 u'\u8caf' bcjmn
68 直 0x443E u'\u76f4' jbmm
69 提 0x4473 u'\u63d0' qamo
70 転 0x453E u'\u8ee2' jjmmi
71 土 0x455A u'\u571f' g
72 等 0x4579 u'\u7b49' hgdi
73 童 0x4638 u'\u7ae5' ytwg
74 内 0x4662 u'\u5185' xob
75 熱 0x472E u'\u71b1' gif
76 馬 0x474F u'\u99ac' sqsf
77 畑 0x482A u'\u7551' fw
78 番 0x4856 u'\u756a' hdw
79 美 0x487E u'\u7f8e' tgk
80 評 0x493E u'\u8a55' yrmfj
81 布 0x495B u'\u5e03' klb
82 福 0x4A21 u'\u798f' ifmrw
83 平 0x4A3F u'\u5e73' mfj
84 弁 0x4A5B u'\u5f01' xit
85 法 0x4B21 u'\u6cd5' egi
86 毎 0x4B68 u'\u6bce' owj
87 名 0x4C3E u'\u540d' nir
88 目 0x4C5C u'\u76ee' bu
89 輸 0x4D22 u'\u8f38' jjomn
90 容 0x4D46 u'\u5bb9' jcor
91 浴 0x4D61 u'\u6d74' ecor
92 略 0x4E2C u'\u7565' wher
93 緑 0x4E50 u'\u7dd1' vfnme
94 列 0x4E73 u'\u5217' mnln
95 話 0x4F43 u'\u8a71' yrhjr
96 き 0x242D u'\u304d' zc
97 ぎ 0x242E u'\u304e' zc
98 く 0x242F u'\u304f' zc
99 ぐ 0x2430 u'\u3050' zc
100 け 0x2431 u'\u3051' zc
101 げ 0x2432 u'\u3052' zc
102 こ 0x2433 u'\u3053' zc
103 悪 0x302D u'\u60aa' xmmp
104 意 0x3055 u'\u610f' ytap
105 印 0x3075 u'\u5370' hpsl
106 営 0x3144 u'\u55b6' fbrr
107 園 0x3160 u'\u5712' wgrv
108 黄 0x322B u'\u9ec4' tlwc
109 価 0x3241 u'\u4fa1' omlw
110 花 0x3256 u'\u82b1' top
111 解 0x3272 u'\u89e3' nbshq
112 貝 0x332D u'\u8c9d' buc
113 学 0x3358 u'\u5b66' fbnd
114 幹 0x3434 u'\u5e79' jjomj
115 岸 0x345F u'\u5cb8' ummj
116 旗 0x347A u'\u65d7' ysotc
117 貴 0x352E u'\u8cb4' lmbuc
118 宮 0x355C u'\u5bae' jrhr
119 去 0x356E u'\u53bb' gi
120 協 0x3628 u'\u5354' jkss
121 極 0x364B u'\u6975' dnem
122 区 0x3668 u'\u533a' sk
123 兄 0x373B u'\u5144' rhu
124 欠 0x3767 u'\u6b20' no
125 建 0x377A u'\u5efa' nklq
126 験 0x3833 u'\u9a13' xsfom
127 固 0x3847 u'\u56fa' wjr
128 誤 0x386D u'\u8aa4' yrrvk
129 向 0x387E u'\u5411' hbr
130 皇 0x3944 u'\u7687' hamg
131 告 0x3970 u'\u544a' hgr
132 再 0x3A46 u'\u518d' mgb
133 際 0x3A5D u'\u969b' nlbof
134 察 0x3B21 u'\u5bdf' jbof
135 賛 0x3B3F u'\u8cdb' qobuc
136 姉 0x3B50 u'\u59c9' vylb
137 氏 0x3B61 u'\u6c0f' hvp
138 歯 0x3B75 u'\u6b6f' ymufd
139 示 0x3C28 u'\u793a' mmf
140 実 0x3C42 u'\u5b9f' jqk
141 主 0x3C67 u'\u4e3b' yg
142 収 0x3C7D u'\u53ce' vle
143 衆 0x3D30 u'\u8846' htoho
144 術 0x3D51 u'\u8853' hoidn
145 書 0x3D71 u'\u66f8' lga
146 少 0x3E2F u'\u5c11' fh
147 証 0x3E5A u'\u8a3c' yrmym
148 植 0x3F22 u'\u690d' djbm
149 申 0x3F3D u'\u7533' lwl
150 推 0x3F64 u'\u63a8' qog
151 整 0x4030 u'\u6574' dkmym
152 西 0x403E u'\u897f' mcw
153 赤 0x4056 u'\u8d64' glnc
154 先 0x4068 u'\u5148' hghu
155 銭 0x412C u'\u92ad' ciq
156 想 0x415B u'\u60f3' dup
157 蔵 0x4222 u'\u8535' xtihs
